datetime,forecast_median,forecast_q10,forecast_q90,actual,window_id
2026-01-01 00:00:00,46.66751,31.164032,63.68164,107.0,0
2026-01-01 01:00:00,24.53946,9.2612915,45.16217,68.0,0
2026-01-01 02:00:00,14.685913,1.5978394,36.09836,33.0,0
2026-01-01 03:00:00,19.727509,8.854553,37.25659,24.0,0
2026-01-01 04:00:00,39.46289,24.472198,64.07593,24.0,0
2026-01-01 05:00:00,87.37076,62.93866,122.7384,38.0,0
2026-01-01 06:00:00,214.9495,154.09677,299.08072,109.0,0
2026-01-01 07:00:00,389.67624,263.93393,543.93756,160.0,0
2026-01-01 08:00:00,521.8132,382.138,681.63824,246.0,0
2026-01-01 09:00:00,649.7936,469.2166,813.79834,349.0,0
2026-01-01 10:00:00,782.1829,579.3325,967.28046,501.0,0
2026-01-01 11:00:00,879.21375,688.66956,1057.6936,570.0,0
2026-01-01 12:00:00,920.91626,704.4335,1113.5436,566.0,0
2026-01-01 13:00:00,907.62463,697.687,1119.9021,603.0,0
2026-01-01 14:00:00,897.21313,697.52844,1104.7471,635.0,0
2026-01-01 15:00:00,911.89966,699.3568,1112.0125,625.0,0
2026-01-01 16:00:00,829.3551,624.8054,1058.4801,548.0,0
2026-01-01 17:00:00,692.1848,507.6483,883.96765,398.0,0
2026-01-01 18:00:00,508.72726,364.98184,675.86755,295.0,0
2026-01-01 19:00:00,379.56653,271.1923,519.08203,199.0,0
2026-01-01 20:00:00,280.98944,206.10617,390.01364,159.0,0
2026-01-01 21:00:00,207.6029,149.9813,287.77863,122.0,0
2026-01-01 22:00:00,148.86203,100.9216,211.84375,81.0,0
2026-01-01 23:00:00,82.88806,58.227325,127.15546,30.0,0
2026-01-02 00:00:00,41.70218,25.65213,69.83649,10.0,0
2026-01-02 01:00:00,22.905731,15.532532,40.38318,10.0,0
2026-01-02 02:00:00,13.13446,7.024536,28.708466,9.0,0
2026-01-02 03:00:00,20.291107,14.360962,31.486877,16.0,0
2026-01-02 04:00:00,36.988434,25.101135,58.01294,31.0,0
2026-01-02 05:00:00,82.44986,56.854065,122.35629,64.0,0
2026-01-02 06:00:00,218.08414,129.6026,303.79547,222.0,0
2026-01-02 07:00:00,394.46902,222.96509,541.9329,327.0,0
2026-01-02 08:00:00,551.87683,401.2929,719.4688,446.0,0
2026-01-02 09:00:00,683.3013,500.78403,871.1631,553.0,0
2026-01-02 10:00:00,835.10376,618.8652,1027.5864,658.0,0
2026-01-02 11:00:00,936.3434,679.2027,1140.7415,815.0,0
2026-01-02 12:00:00,984.1791,731.74744,1187.4148,862.0,0
2026-01-02 13:00:00,1019.4862,729.05273,1232.5535,829.0,0
2026-01-02 14:00:00,1032.1965,744.69293,1249.0867,861.0,0
2026-01-02 15:00:00,1037.3811,739.9977,1258.6855,883.0,0
2026-01-02 16:00:00,974.33344,676.97974,1229.2661,691.0,0
2026-01-02 17:00:00,837.74115,556.12585,1091.5115,546.0,0
2026-01-02 18:00:00,667.00146,437.41333,930.9918,482.0,0
2026-01-02 19:00:00,515.1055,343.06042,758.836,315.0,0
2026-01-02 20:00:00,380.93857,262.73544,564.1923,227.0,0
2026-01-02 21:00:00,292.872,191.43698,437.00143,184.0,0
2026-01-02 22:00:00,212.64273,132.40268,329.56168,117.0,0
2026-01-02 23:00:00,117.95709,75.107086,184.28473,42.0,0
2026-01-03 00:00:00,57.12787,37.639008,91.039825,35.0,0
2026-01-03 01:00:00,33.105682,22.99115,49.874725,19.0,0
2026-01-03 02:00:00,15.442871,10.285767,31.180847,9.0,0
2026-01-03 03:00:00,14.086426,12.070374,23.914612,13.0,0
2026-01-03 04:00:00,26.158295,22.08905,33.370605,27.0,0
2026-01-03 05:00:00,55.15143,45.131836,80.27002,49.0,0
2026-01-03 06:00:00,147.30078,106.6391,218.59427,135.0,0
2026-01-03 07:00:00,280.31973,191.64642,416.0592,214.0,0
2026-01-03 08:00:00,449.98575,331.85046,638.91785,354.0,0
2026-01-03 09:00:00,650.8152,466.39166,879.72876,417.0,0
2026-01-03 10:00:00,840.7234,610.41046,1082.2104,600.0,0
2026-01-03 11:00:00,949.2617,708.12225,1201.9148,763.0,0
2026-01-03 12:00:00,997.60364,739.1457,1234.9272,803.0,0
2026-01-03 13:00:00,1021.6354,761.04254,1252.3713,764.0,0
2026-01-03 14:00:00,1021.56506,754.31775,1280.1592,785.0,0
2026-01-03 15:00:00,1029.1251,769.5342,1271.2888,786.0,0
2026-01-03 16:00:00,972.1708,718.70044,1218.5962,585.0,0
2026-01-03 17:00:00,830.23254,596.7803,1080.5579,525.0,0
2026-01-03 18:00:00,636.79767,438.76025,913.7501,361.0,0
2026-01-03 19:00:00,484.78635,326.38852,732.557,260.0,0
2026-01-03 20:00:00,367.53088,245.35535,561.2278,221.0,0
2026-01-03 21:00:00,274.18607,180.26434,440.355,174.0,0
