datetime,forecast_median,forecast_q10,forecast_q90,actual,window_id
2026-01-01 00:00:00,45.764465,30.912994,61.390686,107.0,0
2026-01-01 01:00:00,23.950775,9.147949,42.602295,68.0,0
2026-01-01 02:00:00,13.97998,1.5050049,32.91501,33.0,0
2026-01-01 03:00:00,19.417847,9.305115,33.973206,24.0,0
2026-01-01 04:00:00,39.00183,24.500793,60.329437,24.0,0
2026-01-01 05:00:00,87.125824,63.525604,117.999054,38.0,0
2026-01-01 06:00:00,211.76459,158.2351,286.5058,109.0,0
2026-01-01 07:00:00,386.29184,273.5545,530.90497,160.0,0
2026-01-01 08:00:00,518.8814,393.2414,671.302,246.0,0
2026-01-01 09:00:00,647.7147,484.80603,804.55457,349.0,0
2026-01-01 10:00:00,781.25586,591.2926,958.9723,501.0,0
2026-01-01 11:00:00,884.52637,703.3637,1059.3312,570.0,0
2026-01-01 12:00:00,928.4492,723.0536,1114.6216,566.0,0
2026-01-01 13:00:00,916.8778,722.27356,1122.7002,603.0,0
2026-01-01 14:00:00,910.84314,724.9997,1113.4688,635.0,0
2026-01-01 15:00:00,919.7169,722.7928,1117.6581,625.0,0
2026-01-01 16:00:00,836.20605,643.00793,1061.1404,548.0,0
2026-01-01 17:00:00,690.2987,518.9648,880.60596,398.0,0
2026-01-01 18:00:00,511.9509,372.1527,674.38873,295.0,0
2026-01-01 19:00:00,388.91687,281.56128,529.1687,199.0,0
2026-01-01 20:00:00,289.22235,212.77515,398.3343,159.0,0
2026-01-01 21:00:00,212.44653,155.89322,291.8732,122.0,0
2026-01-01 22:00:00,151.3429,103.11685,213.55545,81.0,0
2026-01-01 23:00:00,84.88394,60.01764,130.2504,30.0,0
2026-01-02 00:00:00,41.707245,26.592957,68.48917,10.0,0
2026-01-02 01:00:00,22.08313,15.746887,37.15213,10.0,0
2026-01-02 02:00:00,12.363953,6.81958,25.020172,9.0,0
2026-01-02 03:00:00,19.314941,14.532349,27.305573,16.0,0
2026-01-02 04:00:00,35.09543,25.361298,52.713684,31.0,0
2026-01-02 05:00:00,80.70273,56.9711,115.64996,64.0,0
2026-01-02 06:00:00,211.07486,129.35901,287.93588,222.0,0
2026-01-02 07:00:00,389.83002,232.30014,528.33954,327.0,0
2026-01-02 08:00:00,549.7441,405.84003,712.1387,446.0,0
2026-01-02 09:00:00,682.93555,509.1892,865.2328,553.0,0
2026-01-02 10:00:00,831.7655,627.5298,1018.99695,658.0,0
2026-01-02 11:00:00,932.44934,694.8169,1128.0535,815.0,0
2026-01-02 12:00:00,981.9351,745.59216,1180.2823,862.0,0
2026-01-02 13:00:00,1017.2197,740.11255,1224.3635,829.0,0
