date,total_count,peak_count
2020-01-01,3916.0,423.0
2020-01-02,4584.0,399.0
2020-01-03,4693.0,393.0
2020-01-04,3644.0,356.0
2020-01-05,3194.0,362.0
2020-01-06,3854.0,371.0
2020-01-07,4009.0,366.0
2020-01-08,3836.0,351.0
2020-01-09,4110.0,395.0
2020-01-10,4598.0,384.0
2020-01-11,4977.0,523.0
2020-01-12,3501.0,413.0
2020-01-13,3968.0,416.0
2020-01-14,3979.0,409.0
2020-01-15,4285.0,392.0
2020-01-16,3211.0,313.0
2020-01-17,4485.0,388.0
2020-01-18,3877.0,394.0
2020-01-19,3165.0,333.0
2020-01-20,3990.0,395.0
2020-01-21,3937.0,366.0
2020-01-22,4041.0,369.0
2020-01-23,4214.0,377.0
2020-01-24,4513.0,366.0
2020-01-25,3825.0,348.0
2020-01-26,3742.0,432.0
2020-01-27,4010.0,368.0
2020-01-28,4084.0,382.0
2020-01-29,4108.0,358.0
2020-01-30,4272.0,389.0
2020-01-31,4646.0,381.0
2020-02-01,4316.0,441.0
2020-02-02,3500.0,388.0
2020-02-03,4133.0,382.0
2020-02-04,3985.0,383.0
2020-02-05,4265.0,394.0
2020-02-07,3167.0,276.0
2020-02-08,4515.0,414.0
2020-02-09,3590.0,390.0
2020-02-10,3802.0,366.0
2020-02-11,3975.0,367.0
2020-02-12,4412.0,407.0
2020-02-13,3653.0,302.0
2020-02-14,5195.0,402.0
2020-02-15,5130.0,469.0
2020-02-16,4919.0,545.0
2020-02-17,5090.0,504.0
2020-02-18,3789.0,367.0
2020-02-19,4385.0,411.0
2020-02-20,4722.0,394.0
2020-02-21,4934.0,391.0
2020-02-22,5226.0,531.0
2020-02-23,4926.0,571.0
2020-02-24,4626.0,411.0
2020-02-25,4252.0,399.0
2020-02-26,4289.0,385.0
2020-02-27,4062.0,340.0
2020-02-28,4888.0,402.0
2020-02-29,5020.0,494.0
2020-03-01,4451.0,484.0
2020-03-02,4234.0,383.0
2020-03-03,4581.0,393.0
2020-03-04,4468.0,414.0
2020-03-05,4668.0,406.0
2020-03-06,4900.0,394.0
2020-03-07,5097.0,472.0
2020-03-08,4766.0,499.0
2020-03-09,4974.0,415.0
2020-03-10,4379.0,459.0
2020-03-11,4570.0,379.0
2020-03-12,4600.0,427.0
2020-03-13,4406.0,371.0
2020-03-14,5249.0,551.0
2020-03-15,4509.0,514.0
2020-03-16,4158.0,376.0
2020-03-17,3334.0,318.0
2020-03-18,4049.0,345.0
2020-03-19,3199.0,307.0
2020-03-20,3811.0,323.0
2020-03-21,4214.0,499.0
2020-03-22,3483.0,463.0
2020-03-23,3059.0,298.0
2020-03-24,2798.0,246.0
2020-03-25,3093.0,278.0
2020-03-26,3316.0,291.0
2020-03-27,3665.0,319.0
2020-03-28,3230.0,352.0
2020-03-29,1958.0,202.0
2020-03-30,2744.0,256.0
2020-03-31,3202.0,308.0
2020-04-01,3026.0,281.0
2020-04-02,2433.0,219.0
2020-04-03,2618.0,234.0
2020-04-04,2745.0,297.0
2020-04-05,2230.0,249.0
2020-04-06,2951.0,260.0
2020-04-07,2929.0,262.0
2020-04-08,2844.0,246.0
2020-04-09,2344.0,220.0
2020-04-10,3020.0,259.0
2020-04-11,2965.0,314.0
2020-04-12,2111.0,259.0
2020-04-13,2213.0,199.0
2020-04-14,3310.0,292.0
2020-04-15,3152.0,287.0
2020-04-16,3189.0,272.0
2020-04-17,3402.0,309.0
2020-04-18,2332.0,218.0
2020-04-19,3307.0,421.0
2020-04-20,3161.0,292.0
2020-04-21,3020.0,275.0
2020-04-22,3192.0,272.0
2020-04-23,3625.0,309.0
2020-04-24,3341.0,284.0
2020-04-25,3741.0,410.0
2020-04-26,2489.0,296.0
2020-04-27,2690.0,234.0
2020-04-28,3382.0,294.0
2020-04-29,3793.0,346.0
2020-04-30,3360.0,287.0
2020-05-01,3206.0,274.0
2020-05-02,4159.0,423.0
2020-05-03,3708.0,455.0
2020-05-04,3678.0,325.0
2020-05-05,3822.0,330.0
2020-05-06,3864.0,327.0
2020-05-07,4012.0,364.0
2020-05-08,4474.0,399.0
2020-05-09,3387.0,325.0
2020-05-10,3859.0,453.0
2020-05-11,3595.0,341.0
2020-05-12,4106.0,350.0
2020-05-13,4296.0,354.0
2020-05-14,4770.0,409.0
2020-05-15,4474.0,363.0
2020-05-16,4810.0,480.0
2020-05-17,4162.0,469.0
2020-05-18,4222.0,356.0
2020-05-19,4365.0,362.0
2020-05-20,4752.0,405.0
2020-05-21,5219.0,423.0
2020-05-22,5875.0,506.0
2020-05-23,4989.0,463.0
2020-05-24,4720.0,495.0
2020-05-25,4265.0,455.0
2020-05-26,4908.0,405.0
2020-05-27,5153.0,439.0
2020-05-28,5290.0,442.0
2020-05-29,5549.0,454.0
2020-05-30,5363.0,483.0
2020-05-31,5139.0,543.0
2020-06-01,5372.0,456.0
2020-06-02,5395.0,465.0
2020-06-03,5262.0,427.0
2020-06-04,6136.0,468.0
2020-06-05,6514.0,503.0
2020-06-06,6577.0,591.0
2020-06-07,6188.0,639.0
2020-06-08,6078.0,515.0
2020-06-09,5780.0,466.0
2020-06-10,5825.0,478.0
2020-06-11,5608.0,462.0
2020-06-12,7355.0,573.0
2020-06-13,7431.0,635.0
2020-06-14,7140.0,714.0
2020-06-15,6266.0,522.0
2020-06-16,6263.0,499.0
2020-06-17,6575.0,516.0
2020-06-18,7176.0,557.0
2020-06-19,8342.0,619.0
2020-06-20,8806.0,673.0
2020-06-21,8443.0,735.0
2020-06-22,7105.0,604.0
2020-06-23,7008.0,564.0
2020-06-24,6640.0,533.0
2020-06-25,7387.0,571.0
2020-06-26,8423.0,612.0
2020-06-27,8436.0,671.0
2020-06-28,8007.0,724.0
2020-06-29,6989.0,646.0
2020-06-30,6739.0,584.0
2020-07-01,7458.0,574.0
2020-07-02,8737.0,670.0
2020-07-03,9144.0,769.0
2020-07-04,9364.0,719.0
