date,total_count,peak_count
2020-01-01,7686.0,804.0
2020-01-02,9056.0,794.0
2020-01-03,9485.0,869.0
2020-01-04,7199.0,707.0
2020-01-05,6260.0,694.0
2020-01-06,7612.0,671.0
2020-01-07,8004.0,704.0
2020-01-08,7646.0,660.0
2020-01-09,8261.0,749.0
2020-01-10,9218.0,784.0
2020-01-11,9889.0,1073.0
2020-01-12,6753.0,789.0
2020-01-13,7700.0,663.0
2020-01-14,7861.0,722.0
2020-01-15,8512.0,762.0
2020-01-16,6407.0,542.0
2020-01-17,9044.0,744.0
2020-01-18,7944.0,805.0
2020-01-19,6276.0,682.0
2020-01-20,7736.0,730.0
2020-01-21,7794.0,654.0
2020-01-22,8035.0,736.0
2020-01-23,8420.0,717.0
2020-01-24,9166.0,834.0
2020-01-25,7616.0,723.0
2020-01-26,7231.0,795.0
2020-01-27,7957.0,684.0
2020-01-28,8123.0,698.0
2020-01-29,8252.0,725.0
2020-01-30,8568.0,738.0
2020-01-31,9439.0,840.0
2020-02-01,8654.0,866.0
2020-02-02,6670.0,731.0
2020-02-03,8223.0,761.0
2020-02-04,7965.0,692.0
2020-02-05,8510.0,781.0
2020-02-07,6506.0,573.0
2020-02-08,8962.0,845.0
2020-02-09,6878.0,736.0
2020-02-10,7459.0,635.0
2020-02-11,7901.0,648.0
2020-02-12,8756.0,758.0
2020-02-13,7291.0,628.0
2020-02-14,10604.0,878.0
2020-02-15,10502.0,1006.0
2020-02-16,9616.0,1049.0
2020-02-17,9728.0,960.0
2020-02-18,7527.0,611.0
2020-02-19,8792.0,779.0
2020-02-20,9512.0,814.0
2020-02-21,10057.0,872.0
2020-02-22,10460.0,1037.0
2020-02-23,9420.0,1094.0
2020-02-24,9082.0,904.0
2020-02-25,8438.0,754.0
2020-02-26,8578.0,777.0
2020-02-27,8160.0,704.0
2020-02-28,9910.0,848.0
2020-02-29,10049.0,981.0
2020-03-01,8556.0,910.0
2020-03-02,8369.0,706.0
2020-03-03,9158.0,872.0
2020-03-04,8935.0,739.0
2020-03-05,9399.0,839.0
2020-03-06,9931.0,837.0
2020-03-07,10300.0,945.0
2020-03-08,9132.0,968.0
2020-03-09,9855.0,958.0
2020-03-10,8653.0,749.0
2020-03-11,9105.0,800.0
2020-03-12,9223.0,799.0
2020-03-13,8958.0,719.0
2020-03-14,10654.0,1063.0
2020-03-15,8762.0,972.0
2020-03-16,8266.0,775.0
2020-03-17,6708.0,570.0
2020-03-18,8189.0,772.0
2020-03-19,6484.0,563.0
2020-03-20,7745.0,728.0
2020-03-21,8500.0,1042.0
2020-03-22,6748.0,849.0
2020-03-23,6072.0,581.0
2020-03-24,5576.0,537.0
2020-03-25,6211.0,561.0
2020-03-26,6707.0,612.0
2020-03-27,7456.0,727.0
2020-03-28,6469.0,766.0
2020-03-29,3815.0,404.0
2020-03-30,5448.0,502.0
2020-03-31,6352.0,588.0
2020-04-01,6066.0,537.0
2020-04-02,4885.0,424.0
2020-04-03,5264.0,481.0
2020-04-04,5500.0,602.0
2020-04-05,4391.0,482.0
2020-04-06,5843.0,590.0
2020-04-07,5829.0,593.0
2020-04-08,5668.0,542.0
2020-04-09,4743.0,443.0
2020-04-10,6139.0,565.0
2020-04-11,5960.0,621.0
2020-04-12,4122.0,493.0
2020-04-13,4392.0,436.0
2020-04-14,6594.0,594.0
2020-04-15,6329.0,583.0
2020-04-16,6402.0,590.0
2020-04-17,6874.0,689.0
2020-04-18,4635.0,452.0
2020-04-19,6538.0,822.0
2020-04-20,6242.0,592.0
2020-04-21,6016.0,583.0
2020-04-22,6409.0,630.0
2020-04-23,7232.0,670.0
2020-04-24,6769.0,654.0
2020-04-25,7535.0,837.0
2020-04-26,4860.0,561.0
2020-04-27,5387.0,490.0
2020-04-28,6707.0,599.0
2020-04-29,7564.0,762.0
2020-04-30,6745.0,594.0
2020-05-01,6588.0,615.0
2020-05-02,8445.0,885.0
2020-05-03,7208.0,899.0
2020-05-04,7269.0,668.0
2020-05-05,7614.0,702.0
2020-05-06,7718.0,672.0
2020-05-07,8117.0,768.0
2020-05-08,8926.0,824.0
2020-05-09,6773.0,680.0
2020-05-10,7622.0,873.0
2020-05-11,7203.0,699.0
2020-05-12,8144.0,722.0
2020-05-13,8584.0,760.0
2020-05-14,9559.0,910.0
2020-05-15,9098.0,801.0
2020-05-16,9690.0,986.0
2020-05-17,8036.0,899.0
2020-05-18,8382.0,778.0
2020-05-19,8695.0,762.0
2020-05-20,9506.0,833.0
2020-05-21,10576.0,949.0
2020-05-22,12070.0,1128.0
2020-05-23,9940.0,965.0
2020-05-24,9257.0,996.0
2020-05-25,7883.0,828.0
2020-05-26,9733.0,855.0
2020-05-27,10369.0,910.0
2020-05-28,10598.0,924.0
2020-05-29,11240.0,961.0
2020-05-30,10804.0,1004.0
2020-05-31,9789.0,1041.0
2020-06-01,10834.0,910.0
2020-06-02,10808.0,965.0
2020-06-03,10558.0,920.0
2020-06-04,12516.0,1043.0
2020-06-05,13516.0,1103.0
2020-06-06,13171.0,1183.0
2020-06-07,11522.0,1260.0
2020-06-08,11896.0,1032.0
2020-06-09,11478.0,1016.0
2020-06-10,11665.0,1019.0
2020-06-11,11549.0,946.0
2020-06-12,15318.0,1286.0
2020-06-13,14899.0,1310.0
2020-06-14,13179.0,1256.0
2020-06-15,12174.0,1014.0
2020-06-16,12486.0,1061.0
2020-06-17,13311.0,1068.0
2020-06-18,14707.0,1189.0
2020-06-19,17181.0,1327.0
2020-06-20,17663.0,1391.0
2020-06-21,15643.0,1363.0
2020-06-22,13798.0,1135.0
2020-06-23,13895.0,1117.0
2020-06-24,13326.0,1096.0
2020-06-25,15147.0,1253.0
2020-06-26,17357.0,1321.0
2020-06-27,16835.0,1348.0
2020-06-28,14821.0,1303.0
2020-06-29,13533.0,1192.0
2020-06-30,13532.0,1217.0
2020-07-01,15403.0,1239.0
2020-07-02,18391.0,1408.0
2020-07-03,18451.0,1491.0
2020-07-04,18505.0,1416.0
2020-07-05,17054.0,1459.0
2020-07-06,16916.0,1336.0
2020-07-07,17005.0,1367.0
2020-07-08,15477.0,1320.0
2020-07-09,17606.0,1400.0
2020-07-10,17528.0,1379.0
2020-07-11,17334.0,1378.0
2020-07-12,17310.0,1450.0
2020-07-13,15452.0,1360.0
2020-07-14,15379.0,1223.0
2020-07-15,17014.0,1359.0
2020-07-16,17640.0,1388.0
