date,total_count,peak_count
2020-01-01,3770.0,409.0
2020-01-02,4472.0,433.0
2020-01-03,4792.0,482.0
2020-01-04,3555.0,351.0
2020-01-05,3066.0,332.0
2020-01-06,3758.0,394.0
2020-01-07,3995.0,432.0
2020-01-08,3810.0,404.0
2020-01-09,4151.0,450.0
2020-01-10,4620.0,444.0
2020-01-11,4912.0,562.0
2020-01-12,3252.0,376.0
2020-01-13,3732.0,394.0
2020-01-14,3882.0,447.0
2020-01-15,4227.0,424.0
2020-01-16,3196.0,331.0
2020-01-17,4559.0,426.0
2020-01-18,4067.0,451.0
2020-01-19,3111.0,349.0
2020-01-20,3746.0,419.0
2020-01-21,3857.0,410.0
2020-01-22,3994.0,418.0
2020-01-23,4206.0,421.0
2020-01-24,4653.0,468.0
2020-01-25,3791.0,375.0
2020-01-26,3489.0,396.0
2020-01-27,3947.0,405.0
2020-01-28,4039.0,397.0
2020-01-29,4144.0,439.0
2020-01-30,4296.0,450.0
2020-01-31,4793.0,459.0
2020-02-01,4338.0,435.0
2020-02-02,3170.0,353.0
2020-02-03,4090.0,475.0
2020-02-04,3980.0,412.0
2020-02-05,4245.0,455.0
2020-02-07,3339.0,337.0
2020-02-08,4447.0,433.0
2020-02-09,3288.0,346.0
2020-02-10,3657.0,388.0
2020-02-11,3926.0,419.0
2020-02-12,4344.0,432.0
2020-02-13,3638.0,383.0
2020-02-14,5409.0,487.0
2020-02-15,5372.0,537.0
2020-02-16,4697.0,504.0
2020-02-17,4638.0,464.0
2020-02-18,3738.0,373.0
2020-02-19,4407.0,456.0
2020-02-20,4790.0,482.0
2020-02-21,5123.0,481.0
2020-02-22,5234.0,517.0
2020-02-23,4494.0,544.0
2020-02-24,4456.0,533.0
2020-02-25,4186.0,456.0
2020-02-26,4289.0,482.0
2020-02-27,4098.0,406.0
2020-02-28,5022.0,477.0
2020-02-29,5029.0,494.0
2020-03-01,4105.0,444.0
2020-03-02,4135.0,414.0
2020-03-03,4577.0,516.0
2020-03-04,4467.0,443.0
2020-03-05,4731.0,523.0
2020-03-06,5031.0,484.0
2020-03-07,5203.0,524.0
2020-03-08,4366.0,483.0
2020-03-09,4881.0,558.0
2020-03-10,4274.0,463.0
2020-03-11,4535.0,472.0
2020-03-12,4623.0,477.0
2020-03-13,4552.0,394.0
2020-03-14,5405.0,556.0
2020-03-15,4253.0,458.0
2020-03-16,4108.0,414.0
2020-03-17,3374.0,337.0
2020-03-18,4140.0,466.0
2020-03-19,3285.0,315.0
2020-03-20,3934.0,408.0
2020-03-21,4286.0,543.0
2020-03-22,3265.0,435.0
2020-03-23,3013.0,321.0
2020-03-24,2778.0,306.0
2020-03-25,3118.0,343.0
2020-03-26,3391.0,354.0
2020-03-27,3791.0,408.0
2020-03-28,3239.0,416.0
2020-03-29,1857.0,205.0
2020-03-30,2704.0,298.0
2020-03-31,3150.0,335.0
2020-04-01,3040.0,325.0
2020-04-02,2452.0,252.0
2020-04-03,2646.0,273.0
2020-04-04,2755.0,305.0
2020-04-05,2161.0,233.0
2020-04-06,2892.0,350.0
2020-04-07,2900.0,331.0
2020-04-08,2824.0,306.0
2020-04-09,2399.0,239.0
2020-04-10,3119.0,320.0
2020-04-11,2995.0,337.0
2020-04-12,2011.0,234.0
2020-04-13,2179.0,252.0
2020-04-14,3284.0,328.0
2020-04-15,3177.0,338.0
2020-04-16,3213.0,348.0
2020-04-17,3472.0,380.0
2020-04-18,2303.0,243.0
2020-04-19,3231.0,420.0
2020-04-20,3081.0,312.0
2020-04-21,2996.0,309.0
2020-04-22,3217.0,361.0
2020-04-23,3607.0,371.0
2020-04-24,3428.0,389.0
2020-04-25,3794.0,445.0
2020-04-26,2371.0,266.0
2020-04-27,2697.0,287.0
2020-04-28,3325.0,340.0
2020-04-29,3771.0,416.0
2020-04-30,3385.0,336.0
2020-05-01,3382.0,341.0
2020-05-02,4286.0,476.0
2020-05-03,3500.0,444.0
2020-05-04,3591.0,381.0
2020-05-05,3792.0,432.0
2020-05-06,3854.0,401.0
2020-05-07,4105.0,411.0
2020-05-08,4452.0,467.0
2020-05-09,3386.0,355.0
2020-05-10,3763.0,433.0
2020-05-11,3608.0,358.0
2020-05-12,4038.0,432.0
2020-05-13,4288.0,433.0
2020-05-14,4789.0,510.0
2020-05-15,4624.0,442.0
2020-05-16,4880.0,514.0
2020-05-17,3874.0,444.0
2020-05-18,4160.0,441.0
2020-05-19,4330.0,438.0
2020-05-20,4754.0,489.0
2020-05-21,5357.0,530.0
2020-05-22,6195.0,622.0
2020-05-23,4951.0,502.0
2020-05-24,4537.0,501.0
2020-05-25,3618.0,373.0
2020-05-26,4825.0,467.0
2020-05-27,5216.0,536.0
2020-05-28,5308.0,504.0
2020-05-29,5691.0,542.0
2020-05-30,5441.0,542.0
2020-05-31,4650.0,503.0
2020-06-01,5462.0,520.0
