date,total_count,peak_count
2020-01-01,3916,423
2020-01-02,4584,399
2020-01-03,4693,393
2020-01-04,3644,356
2020-01-05,3194,362
2020-01-06,3854,371
2020-01-07,4009,366
2020-01-08,3836,351
2020-01-09,4110,395
2020-01-10,4598,384
2020-01-11,4977,523
2020-01-12,3501,413
2020-01-13,3968,416
2020-01-14,3979,409
2020-01-15,4285,392
2020-01-16,3211,313
2020-01-17,4485,388
2020-01-18,3877,394
2020-01-19,3165,333
2020-01-20,3990,395
2020-01-21,3937,366
2020-01-22,4041,369
2020-01-23,4214,377
2020-01-24,4513,366
2020-01-25,3825,348
2020-01-26,3742,432
2020-01-27,4010,368
2020-01-28,4084,382
2020-01-29,4108,358
2020-01-30,4272,389
2020-01-31,4646,381
2020-02-01,4316,441
2020-02-02,3500,388
2020-02-03,4133,382
2020-02-04,3985,383
2020-02-05,4265,394
2020-02-07,3167,276
2020-02-08,4515,414
2020-02-09,3590,390
2020-02-10,3802,366
2020-02-11,3975,367
2020-02-12,4412,407
2020-02-13,3653,302
2020-02-14,5195,402
2020-02-15,5130,469
2020-02-16,4919,545
2020-02-17,5090,504
2020-02-18,3789,367
2020-02-19,4385,411
2020-02-20,4722,394
2020-02-21,4934,391
2020-02-22,5226,531
2020-02-23,4926,571
2020-02-24,4626,411
2020-02-25,4252,399
2020-02-26,4289,385
2020-02-27,4062,340
2020-02-28,4888,402
2020-02-29,5020,494
2020-03-01,4451,484
2020-03-02,4234,383
2020-03-03,4581,393
2020-03-04,4468,414
2020-03-05,4668,406
2020-03-06,4900,394
2020-03-07,5097,472
2020-03-08,4766,499
2020-03-09,4974,415
2020-03-10,4379,459
2020-03-11,4570,379
2020-03-12,4600,427
2020-03-13,4406,371
2020-03-14,5249,551
2020-03-15,4509,514
2020-03-16,4158,376
2020-03-17,3334,318
2020-03-18,4049,345
2020-03-19,3199,307
2020-03-20,3811,323
2020-03-21,4214,499
2020-03-22,3483,463
2020-03-23,3059,298
2020-03-24,2798,246
2020-03-25,3093,278
2020-03-26,3316,291
2020-03-27,3665,319
2020-03-28,3230,352
2020-03-29,1958,202
2020-03-30,2744,256
2020-03-31,3202,308
2020-04-01,3026,281
2020-04-02,2433,219
2020-04-03,2618,234
2020-04-04,2745,297
2020-04-05,2230,249
2020-04-06,2951,260
2020-04-07,2929,262
2020-04-08,2844,246
2020-04-09,2344,220
2020-04-10,3020,259
2020-04-11,2965,314
2020-04-12,2111,259
2020-04-13,2213,199
2020-04-14,3310,292
2020-04-15,3152,287
2020-04-16,3189,272
2020-04-17,3402,309
2020-04-18,2332,218
2020-04-19,3307,421
2020-04-20,3161,292
2020-04-21,3020,275
2020-04-22,3192,272
2020-04-23,3625,309
2020-04-24,3341,284
2020-04-25,3741,410
2020-04-26,2489,296
2020-04-27,2690,234
2020-04-28,3382,294
2020-04-29,3793,346
2020-04-30,3360,287
2020-05-01,3206,274
2020-05-02,4159,423
2020-05-03,3708,455
2020-05-04,3678,325
2020-05-05,3822,330
2020-05-06,3864,327
2020-05-07,4012,364
2020-05-08,4474,399
2020-05-09,3387,325
2020-05-10,3859,453
2020-05-11,3595,341
2020-05-12,4106,350
2020-05-13,4296,354
2020-05-14,4770,409
2020-05-15,4474,363
2020-05-16,4810,480
2020-05-17,4162,469
2020-05-18,4222,356
2020-05-19,4365,362
2020-05-20,4752,405
2020-05-21,5219,423
2020-05-22,5875,506
2020-05-23,4989,463
2020-05-24,4720,495
2020-05-25,4265,455
2020-05-26,4908,405
2020-05-27,5153,439
2020-05-28,5290,442
2020-05-29,5549,454
2020-05-30,5363,483
2020-05-31,5139,543
2020-06-01,5372,456
2020-06-02,5395,465
2020-06-03,5262,427
2020-06-04,6136,468
2020-06-05,6514,503
2020-06-06,6577,591
2020-06-07,6188,639
2020-06-08,6078,515
2020-06-09,5780,466
2020-06-10,5825,478
2020-06-11,5608,462
2020-06-12,7355,573
2020-06-13,7431,635
2020-06-14,7140,714
2020-06-15,6266,522
2020-06-16,6263,499
2020-06-17,6575,516
2020-06-18,7176,557
2020-06-19,8342,619
2020-06-20,8806,673
2020-06-21,8443,735
2020-06-22,7105,604
2020-06-23,7008,564
2020-06-24,6640,533
2020-06-25,7387,571
2020-06-26,8423,612
2020-06-27,8436,671
2020-06-28,8007,724
2020-06-29,6989,646
2020-06-30,6739,584
2020-07-01,7458,574
2020-07-02,8737,670
2020-07-03,9144,769
2020-07-04,9364,719
2020-07-05,9079,822
2020-07-06,8892,745
2020-07-07,8700,707
2020-07-08,7794,658
2020-07-09,8752,668
2020-07-10,8825,693
2020-07-11,8726,715
2020-07-12,9077,725
2020-07-13,7992,682
2020-07-14,7739,620
2020-07-15,8482,670
2020-07-16,8704,684
2020-07-17,9104,719
2020-07-18,9932,741
2020-07-19,10013,818
2020-07-20,9143,759
2020-07-21,8960,678
2020-07-22,8508,693
2020-07-23,8159,678
2020-07-24,9748,739
2020-07-25,10469,772
2020-07-26,9968,795
2020-07-27,9347,741
2020-07-28,8901,678
2020-07-29,9153,688
2020-07-30,9154,734
2020-07-31,9804,769
2020-08-01,10207,769
2020-08-02,9860,796
2020-08-03,9533,741
2020-08-04,8285,748
2020-08-05,8756,658
2020-08-06,9713,724
2020-08-07,10070,788
2020-08-08,10180,789
2020-08-09,9946,828
2020-08-10,9864,757
2020-08-11,9805,760
2020-08-12,9861,756
2020-08-13,9848,770
2020-08-14,10138,821
2020-08-15,9778,750
2020-08-16,9042,760
2020-08-17,9410,804
2020-08-18,9398,771
2020-08-19,9604,775
2020-08-20,10024,759
2020-08-21,10299,781
2020-08-22,10196,789
2020-08-23,9645,809
2020-08-24,9048,707
2020-08-25,8873,715
2020-08-26,9436,785
2020-08-27,8888,731
2020-08-28,9619,754
2020-08-29,8662,731
2020-08-30,8963,793
2020-08-31,8251,689
2020-09-01,7763,589
2020-09-02,7500,642
2020-09-03,8031,630
2020-09-04,9085,677
2020-09-05,9946,767
2020-09-06,10068,807
2020-09-07,9621,787
2020-09-08,8464,704
2020-09-09,7905,667
2020-09-10,7540,631
2020-09-11,8532,674
2020-09-12,9000,753
2020-09-13,8114,789
2020-09-14,7469,647
2020-09-15,7381,619
2020-09-16,7513,628
2020-09-17,7644,656
2020-09-18,8255,692
2020-09-19,8950,775
2020-09-20,8165,783
2020-09-21,7178,636
2020-09-22,6978,596
2020-09-23,7037,569
2020-09-24,7438,601
2020-09-25,8174,684
2020-09-26,8997,805
2020-09-27,8350,756
2020-09-28,6814,606
2020-09-29,6390,515
2020-09-30,5854,484
2020-10-01,6791,549
2020-10-02,7196,632
2020-10-03,8609,767
2020-10-04,7876,752
2020-10-05,6483,587
2020-10-06,6412,563
2020-10-07,6312,546
2020-10-08,6868,583
2020-10-09,7805,641
2020-10-10,9402,829
2020-10-11,9026,834
